id,name,practitioner,effect,conditions
1,"---","---","---","---"
2,"天罡三十六变","猪八戒","包含斡旋造化、颠倒阴阳、移星换斗等三十六种变化，能变山、树、石块、土墩、赖象、科猪、水牛、骆驼等粗糙之物，但变轻巧华丽飞腾之物较难，且身体变大后肚肠也变大，需吃饱才好干事","无明确记载"
3,"七十二变","孙悟空、二郎神、牛魔王","可变化成各种动物、物品等，能躲避天雷、阴火、赑风三灾带来的伤害，还能增加多条性命","需捻诀、念动咒语"
4,"三头六臂","哪吒、孙悟空","变成三个脑袋和六条手臂的法身，同时召唤不同法宝，增强战斗能力","无明确记载"
5,"法天象地","孙悟空、二郎神","施法者化身成天地，效仿天地的规模，跟天一样高大，地一样宽广，身体变得高万丈，头如泰山，腰如峻岭，眼如闪电，口似血盆，牙如剑戟，手中武器上抵三十三天，下至十八层地狱，能威慑妖怪","无明确记载"
6,"袖里乾坤","镇元大仙","能将人或物轻松收入袖中，被困者难以脱身","无明确记载"
7,"五雷法","虎力大仙","可命令玉皇大帝降雨，驭使雷霆，分别为天雷、地雷、水雷、神雷和社雷","发文书，烧文檄，惊动玉帝"
8,"隐身术","孙悟空","让人隐形，隐去自身“形”，别人看不见，但自身还在原地","无明确记载"
9,"定身术","孙悟空","能将人定在原地，使其无法行动，七衣仙女被定身一周天（十二个时辰，即二十四小时）才能解脱","无明确记载"
10,"三昧真火","红孩儿","五行之火，威力强大，需五行车子才能施展，喷出的火焰能烧伤敌人","在五行车中放满五行之物"
11,"元神出窍","孙悟空","元神离开身体，可在空中活动，但此时身体毫无知觉，失去控制","无明确记载"
12,"筋斗云","孙悟空","一纵十万八千里，是三界速度天花板，可用于赶路、逃脱和站在云上观看或交谈","捻着诀，念动真言，攒紧了拳，将身一抖，跳将起来"
13,"身外身之术","孙悟空","拔毫毛化万千分身，群战单挑皆无敌手","拔下毫毛，吹口仙气"
14,"金刚不坏身","孙悟空","八卦炉中炼就的铜皮铁骨，刀砍斧剁、雷劈火烧皆不能伤","无明确记载"
15,"三昧神风","黄风怪","一口神风吹散孙悟空的身外化身，黄沙是火眼金睛的克星","无明确记载"
16,"摄法","部分妖王","一阵风刮过去，能将人和物摄入洞中，但只能拉拉扯扯、就地而行，不能带入空中","无明确记载"
17,"大品天仙诀","孙悟空","夺天地之造化，侵日月之玄机，修炼成后能返老还童，超凡入圣，躲得过三灾就能“寿与天齐”","对修炼者资质要求很高"
