id,name,type,description,events
1,"唐僧","取经团队","身份背景：俗家姓陈，乳名江流，法名玄奘，唐朝第一高僧，被李世民赐法名三藏，前世为佛祖第二弟子金蝉子投胎而来","被如来佛祖选中去西天取经，赐宝物袈裟、九环锡杖、金箍咒；在孙悟空、猪八戒、沙和尚的辅佐下，历经九九八十一难，从西天雷音寺取回三十五部真经；在五指山收悟空，鹰愁涧收白龙马，女儿国经历劫难等"
2,"孙悟空","取经团队","身份背景：由仙石孕育而生，占花果山为王，自称齐天大圣，拜菩提祖师为师，学得七十二变、筋斗云等本领，后经观音菩萨点化，保护唐僧西天取经","搅乱王母娘娘的蟠桃胜会，偷吃太上老君的长生不老金丹，打败天宫十万天兵天将，与如来佛祖斗法被压在五行山下五百多年；三打白骨精，收服红孩儿，熄灭火焰山；真假美猴王等"
3,"猪八戒","取经团队","身份背景：原是玉皇大帝的天蓬元帅，因调戏嫦娥被逐出天界，错投猪胎，后受观音点化，保护唐僧去西天取经","在高老庄抢占民女，后被孙悟空降伏；四圣试禅心时，暴露出贪吃好色的本性；多次在取经途中偷懒、搬弄是非，但关键时刻也能发挥作用"
4,"沙和尚","取经团队","身份背景：原是天宫玉帝的卷帘大将，因触犯天条，被贬出天界，在流沙河兴风作浪，后经南海观世音菩萨点化，拜唐僧为师","在流沙河与猪八戒、孙悟空大战；一路上任劳任怨，负责挑担；在真假美猴王事件中，前往观音处求助"
5,"白龙马","取经团队","身份背景：西海龙王敖闰殿下的三太子，因纵火烧了殿上玉帝赐的明珠，触犯天条，被贬到蛇盘山等待唐僧西天取经，后经观音菩萨点化，成为唐僧的坐骑","在宝象国，化身宫娥与黄袍怪打斗，不敌受伤；劝说猪八戒去花果山请孙悟空回来"
6,"如来佛祖","神仙","身份背景：西天佛国的最高首领，法力无边，发起了取经事业","将孙悟空压在五行山下；辨认真假美猴王；多次帮助唐僧师徒降伏妖魔"
7,"观音菩萨","神仙","身份背景：如来佛祖得意的徒弟之一，大慈大悲，普救人间灾难，负责取经项目，组建取经团队","在唐僧师徒取经路上多次出手相助，如医活镇元大仙的人参果树，收服红孩儿、天蓬元帅、西海龙王三太子等"
8,"菩提祖师","神仙","身份背景：住在灵山方寸山斜月三星洞，传授孙悟空武艺，对三教九流、长生之术、七十二变、腾云驾雾等样样精通","传授孙悟空长生的法术、七十二般变化的本领和十万八千里的筋斗云"
9,"玉皇大帝","神仙","身份背景：掌管天、地、人三界的最高主宰，被佛教、道教尊为最崇高的神","在孙悟空大闹天宫时，多次派天兵天将捉拿孙悟空；最终请如来佛祖将孙悟空制服"
10,"王母娘娘","神仙","身份背景：天宫最受尊奉的女神仙，在天上掌管宴请各路神仙之职，在人间管婚姻和生儿育女之事","在瑶池中开蟠桃胜会，被孙悟空搅乱"
11,"太上老君","神仙","身份背景：道家创始人老子的神格化，与元始天尊、灵宝天尊合称为“三清”，擅长炼制仙丹和打造兵器","炼制了孙悟空的如意金箍棒、猪八戒的九齿钉耙等兵器；用八卦炉炼孙悟空，使其炼成火眼金睛；派金角大王、银角大王下凡考验唐僧师徒"
12,"灵吉菩萨","神仙","身份背景：住在小须弥山，法力广大，手使飞龙宝杖，并有如来赐给的定风珠等宝贝","用飞龙宝杖降伏黄风怪；借给孙悟空定风珠，抵抗铁扇公主的芭蕉扇"
13,"镇元大仙","神仙","身份背景：地仙之祖，道号镇元子，住在西牛贺洲的五庄观上，道术深厚精深","种的人参果，九千年成熟一次，闻一闻能活三百六十岁，吃一颗能活四万七千年；与孙悟空打斗中，施展袖里乾坤的法术，把唐僧师徒装进袖子里；后与孙悟空结拜为兄弟，举办人参果会"
14,"东来佛祖（弥勒佛）","神仙","身份背景：又称未来佛，殿下敲磬的黄眉童儿偷走后天袋子，把孙悟空等神仙斗得没有办法","帮助孙悟空降服黄眉童儿"
15,"二郎真君（杨戬）","神仙","身份背景：玉皇大帝的外甥，常住灌江口，使用三尖两刃枪，具有七十三般变化，还有一只神勇的哮天犬","在与大闹天宫的孙悟空大战中，将其捉住；帮助孙悟空打败九头怪"
16,"托塔天王（李靖）","神仙","身份背景：天宫中的卫戍司令，所生三子，长子金吒侍奉如来佛祖，二子木吒是南海观世音菩萨的大徒弟，三子哪吒在自己的帐下效力","两次平息孙猴子造反，被任命为降魔大元帅，率领十万天兵天将捉拿孙悟空等妖怪"
17,"牛魔王","妖怪","身份背景：翠云山和积雷山的主人，自号平天大圣，七大圣之首，铁扇公主的丈夫，红孩儿的父亲","起初与孙悟空等人结拜，后因红孩儿与孙悟空结怨，在火焰山一战中被李靖、哪吒擒获"
18,"铁扇公主","妖怪","身份背景：牛魔王的妻子，红孩儿的母亲，住在翠云山芭蕉洞，有一把可以灭火、刮风下雨的芭蕉扇","因孙悟空让菩萨收了红孩儿为弟子，不肯借扇给孙悟空，二人几番争执斗法；最终为救夫君性命，献上芭蕉扇"
19,"红孩儿","妖怪","身份背景：牛魔王和铁扇公主的儿子，号称圣婴大王，在火焰山修炼三百年，炼成三昧真火","变化成七岁孩子自缚手脚，吊在松树上呼救，趁机掳走唐僧；与孙悟空多次斗智斗勇，用三昧真火将其烧退；最后被观音菩萨降服，做了善财童子"
20,"白骨精","妖怪","身份背景：白虎岭上的一具女尸，受日月精华，变幻成了人形","三次变化身份，先变成十六七岁的漂亮少女，再变成八十岁的老婆婆，后变成年迈力衰的老翁，试图吃掉唐僧，离间唐僧师徒关系，最终被孙悟空打死"
21,"黄袍怪","妖怪","身份背景：原是天上二十八宿的奎星，即奎木狼，因与天界侍香的玉女有私情，思凡下界变成妖魔","打败唐僧，将其变成老虎；后被孙悟空打败，回天庭帮太上老君烧火"
22,"金角大王、银角大王","妖怪","身份背景：平顶山莲花洞的两个妖怪，原是太上老君门下看守金炉、银炉的童子","菩萨为了试验唐僧西天取经的决心，向太上老君借来金银二童子，变作妖怪磨砺唐僧取经的信念；与孙悟空比武斗法，最后被孙悟空用计谋战胜，收缴了五件宝物，连人带物返还给太上老君"
23,"六耳猕猴","妖怪","身份背景：混世四猴之一，能知千里外之事，凡有人说话，皆能听到，外形、神通与孙悟空无异","乘孙悟空被唐僧赶走之际，冒充孙悟空打晕唐僧，抢走行李；与孙悟空多次战斗，难分真假，最后被如来佛祖道破本相，被孙悟空打杀"
24,"九头虫","妖怪","身份背景：乱石山碧波潭万圣龙王的入赘女婿，万圣公主的丈夫，手持月牙铲","联合万圣龙王给祭赛国下血雨，偷走金光寺塔顶的舍利子；与孙悟空大战三十回合不分胜负，后被二郎神的哮天犬咬掉一个头，受伤逃往北海不知所踪"
25,"独角兕大王（青牛精）","妖怪","身份背景：太上老君的坐骑板角青牛，趁着牛童儿瞌睡之时，偷走老君的宝物金刚琢，下界到金兜山金兜洞成为魔王","用金刚琢套走孙悟空、托塔天王、哪吒等的兵器法宝，打败孙悟空；最后被太上老君带回天宫"
26,"蝎子精","妖怪","身份背景：本来是雷音寺的一只蝎子，修行多年，使用三股钢叉，鼻中喷火，口中吐烟","用法术卷走唐僧，欲成夫妻美事，屡屡打败孙悟空和猪八戒；最终被昴日星官杀死"
27,"蜘蛛精","妖怪","身份背景：盘丝洞的七个妖怪，垂涎蝶仙美色，由爱生恨想取书生性命","用蛛丝困住唐僧师徒；最后死于白眉道长的阴阳青蛇剑下"
28,"蜈蚣精（百眼魔君）","妖怪","身份背景：七个蜘蛛精的师兄，住在黄花观，祸害百姓","长了一千只眼睛，金光四射，使人难以靠近；被毗蓝婆菩萨用绣花针降服，带去看守门户"
